,commodity,num of obs
1898,"Patent fuel - Consumption by other manuf., const. and non-fuel ind.",73
347,Brown coal briquettes - Transformation in electricity plants - main activity producers,73
1401,Naphtha - Transformation in gas works,73
1670,Other kerosene - Consumption by food and tobacco ,73
1275,Motor Gasoline - Consumption by chemical and petrochemical,73
1827,Other recovered gases - Transformation in CHP plants - main activity producers,72
1800,Other oil products n.e.c. - Transformation in CHP plants - main activity producers,72
268,Blast Furnace Gas - Consumption by chemical and petrochemical,72
21,Animal waste - Production,71
544,"Coking coal - transformation in electricity, CHP and heat plants",71
22,Animal waste - Total energy supply,71
1171,Lignite - Non-energy use,70
2190,Electricity - Own use by blast furnaces,70
899,Gasworks Gas - Consumption by non-metallic minerals ,70
58,Anthracite - production,70
125,Biodiesel - Consumption by other,69
2145,Sub-bituminous coal - Transformation in autoproducer CHP plants,69
995,From chemical sources – Autoproducer – Heat plants,69
308,Brown Coal Briquettes - Consumption by food and tobacco ,68
1071,Industrial waste - Consumption by iron and steel,68
1677,Other kerosene - Consumption by non-metallic minerals ,68
1495,Natural gas liquids - Non-energy uses,68
302,Blast Furnace Gas - Transformation in heat plants - main activity producers,68
2017,Petroleum coke - Consumption by households,67
669,"Electricity - total net installed capacity of electric power plants, tide, wave, marine",67
19,Animal waste - Final consumption,67
686,Ethane - Stock changes,67
20,Animal waste - Final energy consumption,67
1714,"Other kerosene - Transformation in electricity, CHP and heat plants",67
1786,Other oil products n.e.c. - Other energy industry own use,67
2129,Sub-bituminous coal - Consumption by transport,66
676,Ethane - Energy industries own use,66
1098,Industrial Waste - Stock changes,66
735,Fuel oil - Own use by oil and gas extraction,66
1956,Peat - own use by briquetting plants,66
1447,Natural Gas (including LNG) - own use by LNG/regasification plants,65
1867,Vegetal waste - Transformation in heat plants - main activity producers,65
830,Gas Oil/ Diesel Oil - Consumption by pipeline transport,65
1972,Peat Products - Consumption by commerce and public services,65
1978,"Peat products - consumption by manufacturing, construction and non-fuel mining industry",65
1983,"Peat products - Consumption by other manuf., const. and non-fuel ind.",65
1925,Peat - consumption by commerce and public services,65
1862,Vegetal waste - Transformation in CHP plants - main activity producers,65
372,Brown coal - consumption in rail,64
1085,Industrial Waste - Energy industries own use,64
68,"Anthracite - transformation in electricity, CHP and heat plants",64
197,Biogases - Transformation in natural gas blending plants,64
2115,Sub-bituminous coal - Consumption by energy sector,64
851,Gas Oil/ Diesel Oil - Other transformation,64
2224,Of which: Pumped hydro – Autoproducer,64
1563,Of which: biogasoline - Imports,63
2252,White spirit and special boiling point industrial spirits - Final energy consumption,63
305,Brown coal briquettes - Consumption by coal mines,63
516,"Coking coal - consumption by other manuf., const. and non-fuel ind.",62
931,Gasworks Gas - Transformation in heat plants - main activity producers,62
1537,Of which: biodiesel - Imports,62
2020,Petroleum Coke - Consumption by machinery ,62
572,Conventional crude oil -  losses,62
2107,"Sub-bituminous coal - Consumption by agriculture, forestry and fishing",61
902,"Gasworks Gas - Consumption by paper, pulp and print",61
267,Black Liquor - Transformation in heat plants - main activity producers,61
730,Fuel oil - Other transformation,61
1935,"Peat - consumption by paper, pulp and print",60
1761,Other oil products n.e.c. - Consumption by industries not elsewhere specified,60
1802,Other oil products n.e.c. - Transformation in electricity plants - autoproducers,60
1705,Other kerosene - Own use by oil refineries,60
2050,Petroleum Coke - Transformation in CHP plants - autoproducers,60
432,"Coal Tar - Consumption by other manufacturing, construction and non-fuel mining industry",60
1211,Liquefied petroleum gas (LPG) - Other energy industry own use,60
2208,From chemical heat – Autoproducer – Electricity plants,60
53,Anthracite - non-energy use,59
86,Aviation gasoline - International aviation bunkers,59
12,"Animal waste - Consumption by manufacturing, construction and non-fuel industry",59
968,Hard coal - other transformation,59
2262,White spirit and special boiling point industrial spirits - Transformation in petrochemical plants,59
15,"Animal waste - Consumption by other manuf., const. and non-fuel min. ind.",59
2110,Sub-bituminous coal - Consumption by coal mines,59
2261,White spirit and special boiling point industrial spirits - Transformation,59
524,Coking coal - energy industries own use,58
171,Biogases - Consumption by transport,58
1204,Liquefied petroleum gas (LPG) - Consumption not elsewhere specified (transport),58
1451,Natural gas (including LNG) - re-injected,58
486,"Coke Oven Gas - Own use by electricity, heat and CHP plants",58
685,Ethane - Production from refineries,58
2007,Peat products - Transformation,58
1075,Industrial Waste - Consumption by non-ferrous metals ,57
1753,Other liquid biofuels - Transformation in electricity plants - main activity producers,57
1941,Peat - consumption not elsewhere specified (other),57
1068,Industrial Waste - Consumption by construction ,57
304,Brown coal briquettes - consumption by chemical and petrochemical industry,57
408,Charcoal - Consumption by commerce and public services,57
175,Biogases - Consumption not elsewhere specified (other),56
2082,Refinery gas - Losses,56
2245,White spirit and special boiling point industrial spirits - consumption by other industries and construction,56
1217,Liquefied petroleum gas (LPG) - Own use by oil and gas extraction,56
2241,White spirit and special boiling point industrial spirits - Consumption by industry & construction,56
428,Coal Tar - Consumption by iron and steel,56
253,Black Liquor - Consumption by wood and wood products ,56
1803,Other oil products n.e.c. - Transformation in electricity plants - main activity producers,56
1652,Other hydrocarbons - exports,55
655,"Electricity - net installed capacity of electric power plants, self-producer geothermal",55
1950,Peat (for fuel use) - total resources in place,55
2077,"Refinery gas - consumption by other manuf., const. and non-fuel min. ind.",55
717,Fuel oil - Consumption in road,55
590,Crude petroleum - consumption by chemical and petrochemical,54
1757,Other oil products n.e.c. - Consumption by commerce and public services,54
1330,Municipal Wastes - Consumption by chemical and petrochemical,54
692,Ethane - Transformation in petrochemical plants,54
689,Ethane - Transformation,54
1009,From other sources – Main activity – Heat plants,54
638,Electricity generating capacity - Pumped hydro - Autoproducers,53
1826,Other recovered gases - Transformation in CHP plants - autoproducers,53
1967,Peat - transformation in electricity plants - main activity producers,53
652,"Electricity - net installed capacity of electric power plants, public tide, wave, marine",53
1163,Lignite - Consumption not elsewhere specified (other),53
2126,"Sub-bituminous coal - Consumption by paper, pulp and print",53
2116,Sub-bituminous coal - Consumption by food and tobacco industry,53
1749,Other liquid biofuels - Transformation in CHP plants - autoproducers,52
314,Brown Coal Briquettes - Consumption by non-ferrous metals ,52
1313,"Motor Gasoline - Own use by electricity, heat and CHP plants",52
1830,Other recovered gases - Transformation in electricity plants - main activity producers,52
447,Coal Tar - Stock changes,52
1738,Other liquid biofuels - Consumption in transport,51
1735,Other liquid biofuels - Consumption by road,51
2155,"Electricity - total tide, wave production",51
1953,Peat - non-energy uses,51
1248,Liquified Petroleum Gas (LPG) - Transformation in heat plants - autoproducers,51
680,Ethane - Imports,51
934,Coal - additional resources,50
1008,From other sources – Main activity – CHP plants,50
1750,Other liquid biofuels - Transformation in CHP plants - main activity producers,50
596,Crude petroleum - reserves from oil shale and tar sands,50
1111,Kerosene-type Jet Fuel - Consumption by machinery ,50
1915,Patent fuel - Transformation,50
1215,"Liquefied petroleum gas (LPG) - Own use by electricity, heat and CHP plants",50
399,Brown coal - transformation in gas works,49
1927,Peat - consumption by food and tobacco,49
1012,Geothermal – Autoproducer – Heat plants,49
1815,Other recovered gases - Energy industries own use,49
515,Coking coal - consumption by other,49
1188,Lignite - Transformation in gas works,49
264,Black Liquor - Transformation in electricity plants - autoproducers,49
1245,Liquified Petroleum Gas (LPG) - Transformation in CHP plants - main activity producers,49
1309,Motor Gasoline - Non-energy uses,49
113,"Biodiesel - Consumption by agriculture, forestry and fishing",49
1299,Motor Gasoline - Consumption by wood and wood products ,49
1246,Liquified Petroleum Gas (LPG) - Transformation in electricity plants - autoproducers,49
449,Coal Tar - Transformation,49
1053,Heat - Own use by gas works,48
1949,Peat (for fuel use) - total known reserves,48
70,Anthracite - transformation in electricity plants - main activity producers,48
1762,Other oil products n.e.c. - Consumption by iron and steel,48
2207,From chemical heat – Autoproducer – CHP plants,48
1096,Industrial Waste - Own use by oil refineries,48
1672,Other kerosene - Consumption by iron and steel,48
1752,Other liquid biofuels - Transformation in electricity plants - autoproducers,48
1835,Vegetal waste - Consumption by commerce and public services,48
434,Coal Tar - Energy industries own use,48
1080,Industrial Waste - Consumption by textile and leather ,48
586,"Conventional crude oil - transformation in electricity, CHP and heat plants",48
994,From chemical sources – Autoproducer – CHP plants,47
1806,Other oil products n.e.c. - Transformation in heat plants - main activity producers,47
1457,Natural gas (including LNG) - transformation in blast furnaces,47
1716,Other kerosene - Transformation in electricity plants - main activity producers,47
2109,Sub-bituminous coal - Consumption by chemical industry,47
1763,Other oil products n.e.c. - Consumption by machinery ,47
44,Anthracite - consumption not elsewhere specified (industry),46
1632,Other bituminous coal - own use by coke ovens,46
2015,Petroleum Coke - Consumption by commerce and public services,46
1924,Peat - consumption by chemical and petrochemical,46
508,Coking coal - consumption by food and tobacco,46
1014,Geothermal – Main activity – CHP plants,46
1813,"Other recovered gases - Consumption by other manuf., const. and non-fuel ind.",46
2231,"Tide, wave and marine – Main activity",46
522,Coking coal - consumption not elsewhere specified (industry),46
1864,Vegetal waste - Transformation in electricity plants - autoproducers,46
490,Coke Oven Gas - Receipts from other sources,46
2051,Petroleum Coke - Transformation in CHP plants - main activity producers,46
1970,"Peat products - Consumption by agriculture, forestry and fishing",46
1769,Other oil products n.e.c. - Consumption by other consumers,45
1719,Other kerosene - Transformation in petrochemical plants,45
1534,Of which: biodiesel - Exports,45
854,Gas Oil/ Diesel Oil - Own use by coke ovens,45
595,Crude petroleum - reserves from oil shale,45
904,Gasworks Gas - Consumption by transport equipment ,45
592,"Crude petroleum - consumption by other manufacturing, construction and non-fuel mining industry",45
1324,Motor Gasoline - Transformation,45
894,Gasworks Gas - Consumption by iron and steel,45
538,Coking coal - transformation in autoproducer CHP plants,45
1683,Other kerosene - Consumption by transport equipment ,44
484,Coke Oven Gas - Own use by coal mines,44
1992,Peat products - Energy industries own use,44
1161,Lignite - Consumption in transport,44
165,Biogases - Consumption by non-metallic minerals ,44
403,Lignite brown coal - additional resources,44
1676,Other kerosene - Consumption by non-ferrous metals ,44
262,Black Liquor - Transformation in CHP plants - main activity producers,44
1865,Vegetal waste - Transformation in electricity plants - main activity producers,44
66,Anthracite - transformation in CHP plants - main activity producers,44
1661,"Other hydrocarbons - transformation in electricity, CHP and heat plants",44
1733,"Other liquid biofuels - Consumption by other manufacturing, construction and non-fuel mining industry",44
1560,Of which: biogasoline - Exports,44
1947,Peat (for fuel use) - recoverable,44
1847,Vegetal waste - Consumption not elsewhere specified (industry),44
425,Coal Tar - Consumption by chemical and petrochemical,44
1728,"Other liquid biofuels - Consumption by manufacturing, construction and non-fuel mining industry",44
1829,Other recovered gases - Transformation in electricity plants - autoproducers,43
385,Brown coal - own use by briquetting plants,43
1744,Other liquid biofuels - Imports,43
1522,Of which: biodiesel - Consumption by other,43
530,Coking coal - non-energy use,43
327,Brown coal briquettes - Consumption not elsewhere specified (other),43
1157,Lignite - Consumption by rail,43
1758,Other oil products n.e.c. - Consumption by construction ,43
1121,Kerosene-type Jet Fuel - Energy industries own use,43
682,Ethane - Own use by oil refineries,43
1754,Other liquid biofuels - Transformation in heat plants - main activity producers,43
75,Aviation gasoline - Consumption by other,43
1288,Motor Gasoline - Consumption by non-metallic minerals ,42
2010,"Peat products - Transformation in electricity, CHP and heat plants",42
1399,Naphtha - Transformation in electricity plants - autoproducers,42
1332,Municipal Wastes - Consumption by food and tobacco ,42
974,Hard coal - own use by oil refineries,42
1765,Other oil products n.e.c. - Consumption by mining and quarrying ,42
454,"Coal Tar - Transformation in electricity, CHP and heat plants",41
242,Bitumen - Transformation,41
1335,Municipal Wastes - Consumption by machinery ,41
1293,"Motor Gasoline - Consumption by paper, pulp and print",41
1955,Peat - other transformation,41
925,Gasworks Gas - Transformation in CHP plants - autoproducers,41
184,Biogases - Own use by biogas production plants,41
466,Coke Oven Gas - Consumption by mining and quarrying ,41
1489,Natural gas liquids - Energy industries own use,40
1492,Natural gas liquids - Final energy consumption,40
181,Biogases - Losses,40
1375,"Naphtha - Consumption by other manufacturing, construction and non-fuel",40
303,Brown coal briquettes - consumption by briquetting plants,40
28,Anthracite - consumption by chemical and petrochemical,40
1476,"Natural gas liquids - Consumption by manufacturing, construction and non-fuel mining industry",40
2001,Peat products - Own use by briquetting plants,40
1498,Natural gas liquids - Own use by oil and gas extraction,39
290,"Blast Furnace Gas - Own use by electricity, heat and CHP plants",39
2153,Sub-bituminous coal - Transformation main activity heat plants,39
265,Black Liquor - Transformation in electricity plants - main activity producers,39
529,Coking coal - losses,39
1065,"Industrial Waste - Consumption by agriculture, forestry and fishing",39
1821,Other recovered gases - Own use by coke ovens,39
1932,Peat - consumption by non-metallic minerals,39
1542,Of which: biodiesel - Stock changes,38
1318,Motor Gasoline - production from plants,38
2122,Sub-bituminous coal - Consumption by Non-ferrous metals industry,38
344,Brown Coal Briquettes - Transformation in CHP plants - main activity producers,38
2102,Refinery Gas - Transformation in heat plants - main activity producers,38
1038,Heat - Exports,38
539,Coking coal - transformation in autoproducer electricity plants,37
228,Bitumen - Energy industries own use,37
1109,Kerosene-type Jet Fuel - Consumption by commerce and public services,37
1831,Other recovered gases - Transformation in heat plants - autoproducers,37
2022,Petroleum Coke - Consumption by mining and quarrying ,37
532,Coking coal - own use by coke ovens,37
1849,Vegetal waste - Energy industries own use,37
26,Anthracite - commerce and public services,37
185,"Biogases - Own use by electricity, CHP and heat plants",37
248,Black Liquor - Consumption by food and tobacco ,37
231,Bitumen - Final energy consumption,36
673,"Ethane - Consumption by manufacturing, construction and non-fuel mining industry",36
272,Blast Furnace Gas - Consumption by machinery ,36
552,Conventional crude oil - consumption by food and tobacco,36
473,Coke Oven Gas - Consumption by transport equipment ,36
307,Brown Coal Briquettes - Consumption by construction ,36
646,Electricity generating capacity - Solar Thermal - Total,36
170,Biogases - Consumption by textile and leather ,36
679,Ethane - Final energy consumption,36
1680,"Other kerosene - Consumption by paper, pulp and print",36
1446,Natural gas (including LNG) - own use by gas works,35
769,Fuelwood - Consumption by transport,35
169,Biogases - Consumption by road,35
1296,Motor Gasoline - Consumption by textile and leather ,35
2119,Sub-bituminous coal - Consumption by machinery industry,35
775,Fuelwood - Consumption not elsewhere specified (transport),35
1681,Other kerosene - Consumption by textile and leather ,34
397,Brown coal - transformation in coke ovens,34
2216,Geothermal – Autoproducer – Electricity plants,34
128,Biodiesel - Consumption by rail,34
80,Aviation gasoline - Consumption not elsewhere specified (other),34
433,Coal Tar - Consumption not elsewhere specified (industry),34
319,Brown Coal Briquettes - Consumption by textile and leather ,33
318,"Brown Coal Briquettes - Consumption by paper, pulp and print",33
469,Coke Oven Gas - Consumption by other,33
1871,Paraffin waxes - Energy industries own use,33
2130,Sub-bituminous coal - Consumption by transport equipment industry,33
1878,Paraffin waxes - Own use by oil refineries,33
1788,Other oil products n.e.c. - Own use by coal mines,33
1939,Peat - consumption by wood and wood products,33
897,Gasworks Gas - Consumption by mining and quarrying ,33
1901,Patent fuel - Consumption not elsewhere specified (industry),32
1635,Other bituminous coal - own use by oil refineries,32
320,Brown coal briquettes - consumption by transport,32
576,"Conventional crude oil - own use by electricity, CHP and heat plants",32
1460,Natural gas (including LNG) - transformation in coke ovens,32
1173,Lignite - Own use by briquetting plants,32
1390,Naphtha - production from plants,32
1214,Liquefied petroleum gas (LPG) - Own use by coke ovens,32
325,Brown coal briquettes - consumption in rail,32
1298,Motor Gasoline - Consumption by transport equipment ,32
310,Brown coal briquettes - consumption by iron and steel industry,32
2012,Peat Products - Transformation in heat plants - autoproducers,32
1470,Natural gas liquids - Consumption by chemical and petrochemical,32
1120,Kerosene-type Jet Fuel - Consumption not elsewhere specified (transport),32
2197,Electricity - Own use by LNG/regasification plants,31
1684,Other kerosene - Consumption by wood and wood products ,31
2103,Refinery gas - Transformation in natural gas blending plants,31
1759,Other oil products n.e.c. - Consumption by food and tobacco ,31
514,Coking coal - consumption by non-metallic minerals,31
1327,Motor Gasoline - Transformation in petrochemical plants,31
1081,Industrial Waste - Consumption by transport equipment ,31
1846,Vegetal waste - Consumption by wood and wood products ,31
236,Bitumen - Own use by oil refineries,31
480,Coke Oven Gas - Non-energy uses,31
1805,Other oil products n.e.c. - Transformation in heat plants - autoproducers,31
14,Animal waste - Consumption by other,31
1130,Kerosene-type Jet Fuel - Own use by oil refineries,31
286,Blast Furnace Gas - Other transformation,31
41,Anthracite - consumption by textile and leather,30
908,Gasworks Gas - Consumption not elsewhere specified (other),30
311,Brown Coal Briquettes - Consumption by machinery ,30
930,Gasworks Gas - Transformation in heat plants - autoproducers,30
2028,"Petroleum Coke - Consumption by paper, pulp and print",30
1954,Peat - other energy industry own use,30
2220,Nuclear – Autoproducer,30
1812,Other recovered gases - Consumption by non-metallic minerals ,30
1054,Heat - Own use by nuclear fuel extraction and processing,30
266,Black Liquor - Transformation in heat plants - autoproducers,30
313,Brown Coal Briquettes - Consumption by mining and quarrying ,30
1229,Liquefied petroleum gas (LPG) - Transformation in other energy-producing plants,29
1213,Liquefied petroleum gas (LPG) - Own use by coal mines,29
645,Electricity generating capacity - Solar Thermal - Main activity producers,29
285,Blast Furnace Gas - Non-energy uses,29
1343,Municipal Wastes - Consumption by textile and leather ,29
657,"Electricity - net installed capacity of electric power plants, self-producer nuclear",29
903,Gasworks Gas - Consumption by textile and leather ,29
1646,Other bituminous coal - transformation in coke ovens,29
1919,"Patent fuel - Transformation in electricity, CHP and heat plants",29
509,Coking coal - consumption by households,29
1886,"Patent fuel - consumption by agriculture, forestry and fishing",29
506,Coking coal - consumption by commerce and public services,28
1512,Of which: biodiesel - Consumption by commerce and public services,28
926,Gasworks Gas - Transformation in CHP plants - main activity producers,28
1888,Patent fuel - Consumption by commerce and public services,28
343,Brown Coal Briquettes - Transformation in CHP plants - autoproducers,28
122,"Biodiesel - Consumption by manufacturing, construction and non-fuel mining industry",28
1095,"Industrial Waste - Own use by electricity, heat and CHP plants",28
688,Ethane - Transfers and recycled products,28
906,"Gasworks Gas - Consumption in agriculture, forestry and fishing",28
115,Biodiesel - Consumption by commerce and public services,28
1117,Kerosene-type Jet Fuel - Consumption by transport equipment ,28
1348,Municipal Wastes - Energy industries own use,28
1074,Industrial Waste - Consumption by mining and quarrying ,28
2091,Refinery gas - Stock changes,28
16,"Animal waste - Consumption in agriculture, forestry and fishing",28
1945,Peat (for fuel use) - additional resources,27
172,Biogases - Consumption by transport equipment ,27
1011,Geothermal – Autoproducer – CHP plants,27
1092,Industrial Waste - Other transformation,27
916,Gasworks Gas - Own use by coal mines,27
1940,Peat - consumption not elsewhere specified (industry),27
1396,Naphtha - Transformation in CHP plants - autoproducers,27
350,Brown Coal Briquettes - Transformation in heat plants - main activity producers,27
375,Brown coal - consumption not elsewhere specified (transport),27
35,Anthracite - consumption by non-ferrous metals,27
488,Coke Oven Gas - Own use by oil refineries,27
2244,White spirit and special boiling point industrial spirits - Consumption by non-metallic minerals ,26
2222,Nuclear – Autoproducer – Electricity plants,26
1732,Other liquid biofuels - Consumption by other,26
459,Coke Oven Gas - Consumption by commerce and public services,26
1247,Liquified Petroleum Gas (LPG) - Transformation in electricity plants - main activity producers,26
47,Anthracite - energy industries own use,26
2121,Sub-bituminous coal - Consumption by mining and quarrying industry,26
1998,Peat products - non-energy uses,26
103,Bagasse - Consumption not elsewhere specified (other),26
582,Conventional crude oil - transfers and recycled products,26
98,Bagasse - Consumption by other,26
157,Biogases - Consumption by construction ,26
1525,Of which: biodiesel - Consumption by rail,26
783,Fuelwood - Other transformation,26
2127,Sub-bituminous coal - Consumption by rail,25
1790,"Other oil products n.e.c. - Own use by electricity, heat and CHP plants",25
323,Brown coal briquettes - Consumption for non-energy uses,25
1258,Lubricants - Final energy consumption,25
1669,Other kerosene - Consumption by domestic navigation,25
322,Brown Coal Briquettes - Consumption by wood and wood products ,25
116,Biodiesel - Consumption by construction ,25
1292,Motor Gasoline - Consumption by other transportation,25
39,"Anthracite - consumption by paper, pulp and print",25
610,Direct use of geothermal heat - Consumption by textile and leather,25
390,Brown coal - Receipts from other sources,25
1315,Motor Gasoline - Own use by oil and gas extraction,25
126,"Biodiesel - Consumption by other manufacturing, construction and non-fuel mining industry",25
547,Coking coal - transformation in main activity producer electricity plants,25
905,Gasworks Gas - Consumption by wood and wood products ,24
176,Biogases - Consumption not elsewhere specified (transport),24
1721,Other liquid biofuels - Consumption by chemical and petrochemical,24
245,"Bitumen - Transformation in electricity, CHP and heat plants",24
513,Coking coal - consumption by non-ferrous metals,24
1586,Oil shale - Total energy supply,24
1042,Heat - Imports,24
1584,Oil shale - Production,24
1567,Of which: biogasoline - Stock changes,24
1356,Municipal Wastes - Stock changes,24
928,Gasworks Gas - Transformation in electricity plants - autoproducers,24
2112,Sub-bituminous coal - Consumption by construction industry,24
507,Coking coal - consumption by construction,24
455,Coal Tar - Transformation in electricity plants - autoproducers,24
531,Coking coal - own use by coal mines,24
244,Bitumen - Transformation in coke ovens,23
551,Conventional crude oil - consumption by construction,23
246,Bitumen - Transformation in electricity plants - autoproducers,23
219,Bitumen - Consumption by chemical and petrochemical,23
222,"Bitumen - consumption by manufacturing, construction and non-fuel mining industry",23
1722,Other liquid biofuels - Consumption by commerce and public services,23
681,Ethane - Own use by oil and gas extraction,23
227,"Bitumen - consumption by other manuf., const. and non-fuel min. ind.",23
2113,Sub-bituminous coal - Consumption by domestic navigation,23
275,Blast Furnace Gas - Consumption by non-ferrous metals ,23
2000,Peat products - other transformation,23
446,Coal Tar - Receipts from other sources,23
1834,Vegetal waste - Consumption by chemical and petrochemical,23
587,Conventional crude oil - transformation in electricity plants - main activity producers,23
1696,Other kerosene - International marine bunkers,23
2041,Petroleum coke - Own use by oil and gas extraction,23
67,Anthracite - transformation in coke ovens,23
17,Animal waste - Consumption not elsewhere specified (industry),23
1228,Liquefied petroleum gas (LPG) - Transformation in natural gas blending plants,23
2243,White spirit and special boiling point industrial spirits - Consumption by machinery ,23
2242,White spirit and special boiling point industrial spirits - Consumption by iron and steel industry,23
110,Bagasse - Transformation,23
1717,Other kerosene - Transformation in heat plants - main activity producers,23
604,Direct use of geothermal heat - Consumption by machinery,23
100,"Bagasse - Consumption by paper, pulp and print",23
441,Coal Tar - Own use by blast furnaces,23
2141,Sub-bituminous coal - Receipts from other sources,23
111,Bagasse - Transformation in CHP plants - autoproducers,23
221,Bitumen - Consumption by machinery ,23
112,"Bagasse - Transformation in electricity, CHP and heat plants",23
1715,Other kerosene - Transformation in electricity plants - autoproducers,23
609,"Direct use of geothermal heat - Consumption by paper, pulp and print",23
223,Bitumen - Consumption by non-ferrous metals ,23
1504,"Natural gas liquids - Transformation in electricity, CHP and heat plants",23
94,Bagasse - Consumption by food and tobacco ,23
1513,Of which: biodiesel - Consumption by construction ,23
224,Bitumen - Consumption by non-metallic minerals ,23
932,Gasworks Gas - Transformation in natural gas blending plants,23
2149,Sub-bituminous coal - Transformation in coke ovens,23
1523,"Of which: biodiesel - Consumption by other manufacturing, construction and non-fuel mining industry",23
1519,"Of which: biodiesel - Consumption by manufacturing, construction and non-fuel mining industry",23
2134,Sub-bituminous coal - Consumption not elsewhere specified (transport),23
2147,Sub-bituminous coal - Transformation in autoproducer heat plants,23
1252,Lubricants - Consumption by other,23
1854,Vegetal waste - Other energy industry own use,23
346,Brown coal briquettes - Transformation in electricity plants - autoproducers,23
1510,"Of which: biodiesel - Consumption by agriculture, forestry and fishing",23
1808,Other recovered gases - Consumption by chemical and petrochemical,23
1251,"Lubricants - Consumption by agriculture, forestry and fishing",23
1506,Natural gas liquids - Transformation in electricity plants - main activity producers,23
856,Gas Oil/ Diesel Oil - Own use by gas works,23
355,Brown coal - Consumption by domestic navigation,23
461,Coke Oven Gas - Consumption by food and tobacco ,22
1572,"Oil shale - Consumption by other manuf., const. and non-fuel min. ind.",22
1581,Oil shale - Non-energy use,22
45,Anthracite - consumption not elsewhere specified (other),22
1578,Oil Shale - Final energy consumption,22
1577,Oil Shale - Final consumption,22
2146,Sub-bituminous coal - Transformation in autoproducer electricity plants,22
1570,"Oil Shale - Consumption by manufacturing, construction and non-fuel industry",22
1397,Naphtha - Transformation in CHP plants - main activity producers,22
1571,Oil Shale - Consumption by non-metallic minerals ,22
1686,Other kerosene - Consumption in rail,22
891,Gasworks Gas - Consumption by construction ,22
1090,Industrial Waste - Losses,22
1701,Other kerosene - Own use by coal mines,22
1089,Industrial Waste - Imports,22
1585,Oil shale - Stock changes,22
72,Anthracite - transformation in heat plants - main activity producers,22
1597,Oil Shale - Transformation in heat plants - main activity producers,22
1594,Oil Shale - Transformation in electricity plants - main activity producers,22
951,Hard coal - consumption by other transport,22
2248,White spirit and special boiling point industrial spirits - Consumption by transport,22
1587,Oil shale - Transformation,22
384,Brown coal - Other transformation,22
1595,Oil shale - Transformation in gas works,22
161,Biogases - Consumption by machinery ,22
2013,Peat Products - Transformation in heat plants - main activity producers,22
1905,Patent fuel - energy industries own use,22
1911,Patent fuel - Own use by briquetting plants,22
1592,"Oil shale - Transformation in electricity, CHP and heat plants",22
1591,Oil shale - Transformation in coke ovens,22
560,Conventional crude oil - consumption by other,22
1590,Oil Shale - Transformation in coal liquefaction plants,22
1589,Oil Shale - Transformation in CHP plants - main activity producers,22
1588,Oil Shale - Transformation in CHP plants - autoproducers,22
321,Brown Coal Briquettes - Consumption by transport equipment ,22
1904,Patent fuel - conversion in briquetting plants,21
421,Charcoal - Stock changes,21
1784,Other oil products n.e.c. - Losses,21
677,Ethane - Exports,21
164,Biogases - Consumption by non-ferrous metals ,21
1783,Other oil products n.e.c. - International marine bunkers,21
1442,Natural Gas (including LNG) - own use by blast furnaces,21
732,Fuel oil - Own use by coke ovens,21
27,"Anthracite - consumption by agriculture, forestry and fishing",20
1772,"Other oil products n.e.c. - Consumption by paper, pulp and print",20
2104,Refinery gas - Transformation in other energy-producing plants,20
1345,Municipal Wastes - Consumption by wood and wood products ,20
1704,Other kerosene - Own use by oil and gas extraction,20
1400,Naphtha - Transformation in electricity plants - main activity producers,20
2087,Refinery gas - Own use by oil and gas extraction,20
1094,Industrial Waste - Own use by coke ovens,20
548,Coking coal - transformation in main activity producer heat plants,20
1593,Oil Shale - Transformation in electricity plants - autoproducers,20
540,Coking coal - transformation in autoproducer heat plants,20
518,Coking coal - consumption by textile and leather industry,20
1966,Peat - transformation in electricity plants - autoproducers,20
1283,Motor Gasoline - Consumption by iron and steel,20
472,Coke Oven Gas - Consumption by textile and leather ,20
220,Bitumen - Consumption by iron and steel,20
1505,Natural gas liquids - Transformation in electricity plants - autoproducers,20
1494,Natural gas liquids - Losses,19
32,Anthracite - consumption by machinery,19
1724,Other liquid biofuels - Consumption by food and tobacco ,19
11,Animal waste - Consumption by households,19
1202,Liquefied petroleum gas (LPG) - Consumption in rail,19
467,Coke Oven Gas - Consumption by non-ferrous metals ,19
1508,Natural gas liquids - Transformation in petrochemical plants,19
1596,Oil Shale - Transformation in heat plants - autoproducers,19
1739,Other liquid biofuels - Consumption not elsewhere specified (industry),19
280,Blast Furnace Gas - Consumption not elsewhere specified (industry),19
1990,Peat products - Consumption not elsewhere specified (other),19
1352,Municipal Wastes - Imports,19
1278,Motor Gasoline - Consumption by domestic aviation,19
1699,Other Kerosene - Other energy industry own use,19
2238,Uranium - reasonably assured reserves,19
2148,Sub-bituminous coal - Transformation in briquetting plants,19
159,Biogases - Consumption by Households,19
1787,Other oil products n.e.c. - Other transformation,19
671,Ethane - Consumption by chemical and petrochemical,19
96,Bagasse - Consumption by non-ferrous metals ,18
2099,Refinery Gas - Transformation in electricity plants - main activity producers,18
1347,Municipal wastes - consumption not elsewhere specified (other),18
334,Brown coal briquettes - other transformation,18
471,"Coke Oven Gas - Consumption by paper, pulp and print",18
1775,Other oil products n.e.c. - Consumption by transport,18
1839,Vegetal waste - Consumption by machinery ,18
1814,Other recovered gases - Consumption not elsewhere specified (industry),18
2086,"Refinery gas - Own use by electricity, heat and CHP plants",18
