,commodity,num of obs
79,Aviation gasoline - Consumption in domestic aviation,655
77,Aviation gasoline - Consumption by transport,655
84,Aviation gasoline - Final energy consumption,655
1439,Natural gas (including LNG) - non-energy uses,653
653,"Electricity - net installed capacity of electric power plants, public wind",652
1438,Natural gas (including LNG) - Memo:Gross production,651
1450,Natural gas (including LNG) - production,651
761,"Fuelwood - Consumption by manufacturing, construction and non-fuel industry",650
821,Gas Oil/ Diesel Oil - Consumption by iron and steel,650
766,"Fuelwood - Consumption by other manuf., const. and non-fuel ind.",650
192,"Biogases - Transformation in electricity, CHP and heat plants",649
2233,Wind – Main activity,647
815,Gas Oil/ Diesel Oil - Consumption by chemical and petrochemical,646
2253,White spirit and special boiling point industrial spirits - Imports,646
1458,Natural Gas (including LNG) - transformation in CHP plants - autoproducers,643
942,Hard coal - consumption by households,642
822,Gas Oil/ Diesel Oil - Consumption by machinery ,640
1025,"Heat - Consumption by manufacturing, construction and non-fuel industry",639
963,Hard coal - exports,638
1453,Natural gas (including LNG) - stock changes,637
1030,"Heat - Consumption by other manuf., const. and non-fuel ind.",637
656,"Electricity - net installed capacity of electric power plants, self-producer hydro",637
1694,Other kerosene - Imports,636
578,Conventional crude oil - production,630
794,"Fuelwood - Transformation in electricity, CHP and heat plants",627
1782,Other oil products n.e.c. - Imports,626
1415,Natural Gas (including LNG) - consumption by non-ferrous metals,621
1230,Liquified Petroleum Gas (LPG) - Consumption by commerce and public services,617
715,"Fuel oil - Consumption in agriculture, forestry and fishing",616
824,Gas Oil/ Diesel Oil - Consumption by mining and quarrying ,613
1882,Paraffin waxes - Total energy supply,612
1707,Other kerosene - production from refineries,612
1060,Nuclear – Main activity,612
1706,Other kerosene - Production,612
2189,Electricity - Other energy industry own use,609
594,Crude petroleum - reserves,609
709,"Fuel oil - Consumption by paper, pulp and print",608
1795,Other oil products n.e.c. - Stock changes,606
1873,Paraffin waxes - Final consumption,605
2218,Hydro – Autoproducer,605
1877,Paraffin waxes - Non-energy uses,605
842,Gas Oil/ Diesel Oil - Energy industries own use,604
1392,Naphtha - Stock changes,601
829,"Gas Oil/ Diesel Oil - Consumption by paper, pulp and print",601
1610,Other bituminous coal - consumption by other,600
1001,From combustible fuels – Main activity – Heat plants,599
1233,Liquified Petroleum Gas (LPG) - Consumption by industries not elsewhere specified,597
749,Fuel oil - Transformation in electricity plants - main activity producers,594
695,Fuel oil - Consumption by commerce and public services,590
1422,Natural gas (including LNG) - consumption by transport,588
293,Blast furnace gas - Total energy supply,587
992,Hrad coal - consumption by iron and steel industry,587
292,Blast Furnace Gas - Production,587
85,Aviation gasoline - Imports,586
1708,Other kerosene - Stock changes,585
391,Brown coal - Total energy supply,583
1381,Naphtha - Final consumption,582
283,Blast Furnace Gas - Final energy consumption,581
271,Blast Furnace Gas - Consumption by iron and steel,581
273,"Blast Furnace Gas - Consumption by manufacturing, construction and non-fuel industry",581
282,Blast furnace gas - final consumption,581
1384,Naphtha - Non-energy uses,580
831,Gas Oil/ Diesel Oil - Consumption by textile and leather ,577
1437,Natural gas (including LNG) - losses,576
1269,Lubricants - production from refineries,576
1268,Lubricants - Production,576
2201,Electricity - Own use by pump-storage plants,575
1459,Natural Gas (including LNG) - transformation in CHP plants - main activity producers,573
1779,Other oil products n.e.c. - Exports,572
1414,Natural Gas (including LNG) - consumption by mining and quarrying,571
1099,Industrial waste - Total energy supply,571
